No,Sex,Body site
158,female ,external auditory canal 
159,female ,external auditory canal 
160,female ,hypothenar palm 
161,female ,hypothenar palm 
162,female ,hypothenar palm 
163,female ,hypothenar palm 
164,female ,toenail 
165,female ,toenail 
166,female ,toenail 
167,female ,toenail 
168,male ,antecubital crease 
169,male ,antecubital crease 
170,male ,antecubital crease 
171,male ,antecubital crease 
172,male ,volar forearm 
173,male ,volar forearm 
174,male ,volar forearm 
175,male ,volar forearm 
176,male ,inguinal crease 
177,male ,inguinal crease 
178,male ,nare 
179,male ,nare 
180,male ,inguinal crease 
181,male ,inguinal crease 
182,male ,nare 
183,male ,nare 
184,male ,plantar heel 
185,male ,plantar heel 
186,male ,plantar heel 
187,male ,plantar heel 
188,male ,glabella 
189,male ,glabella 
190,male ,back 
191,male ,back 
192,male ,retroauricular crease 
193,male ,retroauricular crease 
194,male ,retroauricular crease 
195,male ,retroauricular crease 
196,male ,manubrium 
197,male ,manubrium 
198,male ,occiput 
199,male ,occiput 
200,male ,toeweb 
201,male ,toeweb 
202,male ,toeweb 
203,male ,toeweb 
204,male ,external auditory canal 
205,male ,external auditory canal 
206,male ,external auditory canal 
207,male ,external auditory canal 
208,male ,hypothenar palm 
209,male ,hypothenar palm 
210,male ,hypothenar palm 
211,male ,hypothenar palm 
212,male ,toenail 
213,male ,toenail 
214,male ,toenail 
215,male ,toenail 
216,male ,volar forearm 
217,male ,volar forearm 
218,male ,plantar heel 
219,male ,plantar heel 
220,female ,retroauricular crease 
221,female ,retroauricular crease 
222,male ,antecubital crease 
223,male ,antecubital crease 
224,male ,antecubital crease 
225,male ,antecubital crease 
226,male ,back 
227,male ,back 
228,male ,external auditory canal 
229,male ,external auditory canal 
230,male ,external auditory canal 
231,male ,external auditory canal 
232,male ,glabella 
233,male ,glabella 
234,male ,hypothenar palm 
235,male ,hypothenar palm 
236,male ,hypothenar palm 
237,male ,hypothenar palm 
238,male ,inguinal crease 
239,male ,inguinal crease 
240,male ,inguinal crease 
241,male ,inguinal crease 
242,male ,manubrium 
243,male ,manubrium 
244,male ,nare 
245,male ,nare 
246,male ,nare 
247,male ,nare 
248,male ,occiput 
249,male ,occiput 
250,male ,plantar heel 
251,male ,plantar heel 
252,male ,plantar heel 
253,male ,plantar heel 
254,male ,retroauricular crease 
255,male ,retroauricular crease 
256,male ,toeweb 
257,male ,toeweb 
258,male ,retroauricular crease 
259,male ,retroauricular crease 
260,male ,toeweb 
261,male ,toeweb 
262,male ,volar forearm 
263,male ,volar forearm 
264,male ,volar forearm 
265,male ,volar forearm 
266,male ,toenail 
267,male ,toenail 
268,female ,toenail 
269,female ,toenail 
270,female ,antecubital crease 
271,female ,antecubital crease 
272,female ,antecubital crease 
273,female ,antecubital crease 
274,female ,back 
275,female ,back 
276,female ,external auditory canal 
277,female ,external auditory canal 
278,female ,external auditory canal 
279,female ,external auditory canal 
280,female ,glabella 
281,female ,glabella 
282,female ,hypothenar palm 
283,female ,hypothenar palm 
284,female ,hypothenar palm 
285,female ,hypothenar palm 
286,female ,inguinal crease 
287,female ,inguinal crease 
288,female ,inguinal crease 
289,female ,inguinal crease 
290,female ,manubrium 
291,female ,manubrium 
292,female ,nare 
293,female ,nare 
294,female ,nare 
295,female ,nare 
296,female ,occiput 
297,female ,occiput 
298,female ,plantar heel 
299,female ,plantar heel 
300,female ,retroauricular crease 
301,female ,retroauricular crease 
302,female ,retroauricular crease 
303,female ,retroauricular crease 
304,female ,toeweb 
305,female ,toeweb 
306,female ,volar forearm 
307,female ,volar forearm 
308,female ,volar forearm 
309,female ,volar forearm 
310,female ,toenail 
311,female ,toenail 
312,female ,toenail 
313,female ,toenail 
314,male ,toenail 
315,male ,toenail 
316,female ,hypothenar palm 
317,female ,hypothenar palm 
318,female ,manubrium 
319,female ,manubrium 
320,female ,plantar heel 
321,female ,plantar heel 
322,female ,plantar heel 
323,female ,plantar heel 
324,female ,toeweb 
325,female ,toeweb 
326,female ,toenail 
327,female ,toenail 
328,female ,antecubital crease 
329,female ,antecubital crease 
330,female ,antecubital crease 
331,female ,antecubital crease 
332,female ,back 
333,female ,back 
334,female ,external auditory canal 
335,female ,external auditory canal 
336,female ,external auditory canal 
337,female ,external auditory canal 
338,female ,glabella 
339,female ,glabella 
340,female ,hypothenar palm 
341,female ,hypothenar palm 
342,female ,hypothenar palm 
343,female ,hypothenar palm 
344,female ,inguinal crease 
345,female ,inguinal crease 
346,female ,inguinal crease 
347,female ,inguinal crease 
348,female ,manubrium 
349,female ,manubrium 
350,female ,nare 
351,female ,nare 
352,female ,nare 
353,female ,nare 
354,female ,plantar heel 
355,female ,plantar heel 
356,female ,occiput 
357,female ,occiput 
358,female ,plantar heel 
359,female ,plantar heel 
360,female ,retroauricular crease 
361,female ,retroauricular crease 
362,female ,retroauricular crease 
363,female ,retroauricular crease 
364,female ,toeweb 
365,female ,toeweb 
366,female ,toeweb 
367,female ,toeweb 
368,female ,volar forearm 
369,female ,volar forearm 
370,female ,toenail 
371,female ,toenail 
372,female ,volar forearm 
373,female ,volar forearm 
374,female ,toenail 
375,female ,toenail 
376,female ,retroauricular crease 
377,female ,retroauricular crease 
378,female ,retroauricular crease 
379,female ,retroauricular crease 
380,female ,volar forearm 
381,female ,volar forearm 
382,male ,antecubital crease 
383,male ,antecubital crease 
384,male ,antecubital crease 
385,male ,antecubital crease 
386,male ,external auditory canal 
387,male ,external auditory canal 
388,male ,external auditory canal 
389,male ,external auditory canal 
390,male ,glabella 
391,male ,glabella 
392,male ,hypothenar palm 
393,male ,hypothenar palm 
394,male ,hypothenar palm 
395,male ,hypothenar palm 
396,male ,inguinal crease 
397,male ,inguinal crease 
398,male ,inguinal crease 
399,male ,inguinal crease 
400,male ,back 
401,male ,back 
402,male ,manubrium 
403,male ,manubrium 
404,male ,nare 
405,male ,nare 
406,male ,nare 
407,male ,nare 
408,male ,occiput 
409,male ,occiput 
410,male ,plantar heel 
411,male ,plantar heel 
412,male ,plantar heel 
413,male ,plantar heel 
414,male ,retroauricular crease 
415,male ,retroauricular crease 
416,male ,retroauricular crease 
417,male ,retroauricular crease 
418,male ,toeweb 
419,male ,toeweb 
420,male ,toeweb 
421,male ,toeweb 
422,male ,volar forearm 
423,male ,volar forearm 
424,male ,volar forearm 
425,male ,volar forearm 
426,male ,toenail 
427,male ,toenail 
428,female ,antecubital crease 
429,female ,antecubital crease 
430,male ,toenail 
431,male ,toenail 
432,female ,antecubital crease 
433,female ,antecubital crease 
434,female ,external auditory canal 
435,female ,external auditory canal 
436,female ,external auditory canal 
437,female ,external auditory canal 
438,female ,glabella 
439,female ,glabella 
440,female ,hypothenar palm 
441,female ,hypothenar palm 
442,female ,hypothenar palm 
443,female ,hypothenar palm 
444,female ,inguinal crease 
445,female ,inguinal crease 
446,female ,inguinal crease 
447,female ,inguinal crease 
448,female ,back 
449,female ,back 
450,female ,manubrium 
451,female ,manubrium 
452,female ,nare 
453,female ,nare 
454,female ,nare 
455,female ,nare 
456,female ,occiput 
457,female ,occiput 
458,female ,plantar heel 
459,female ,plantar heel 
460,female ,retroauricular crease 
461,female ,retroauricular crease 
462,female ,plantar heel 
463,female ,plantar heel 
464,female ,retroauricular crease 
465,female ,retroauricular crease 
466,female ,toeweb 
467,female ,toeweb 
468,female ,toeweb 
469,female ,toeweb 
470,female ,volar forearm 
471,female ,volar forearm 
472,female ,volar forearm 
473,female ,volar forearm 
474,female ,toenail 
475,female ,toenail 
476,male ,antecubital crease 
